"Stage","Mode","Threads","Loops","Planned","Samples","Success","Failures","SuccessRate","ErrorRate","RPS","DurationSeconds","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MinMs","MaxMs","Http401","Http403","Http429","Http5xx","Timeouts","Resets","SseIncomplete","EmptyContent","InvalidJson","ClientCpuAvg","ClientCpuPeak","ClientMemoryMinMB","JMeterExitCode"
"T0","非流式预检","1","3","3","3","3","0","100","0","0.0435","68.975","22619.67","19568","28931","28931","28931","19360","28931","0","0","0","0","0","0","0","0","0","52.92","67","5662","0"
"P1","非流式","25","20","500","500","499","1","99.8","0.2","1.2779","391.279","14780.26","13647","20939","23756","31213","6613","47577","0","0","0","0","1","0","0","0","0","51.38","77","5593","0"
"P2","非流式","50","20","1000","1000","1000","0","100","0","1.7809","561.525","23756.35","23443","30843","33080","39434","8015","46567","0","0","0","0","0","0","0","0","0","51.49","84","5688","0"
"P3","非流式","100","20","2000","1297","920","377","70.9329","29.0671","2.113","613.827","40086.99","42034","54777","58630","67156","7395","80281","0","0","0","377","0","0","0","0","0","60.74","89","3114","0"
