"Stage","Mode","Threads","Loops","Planned","Samples","Success","Failures","SuccessRate","ErrorRate","RPS","DurationSeconds","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MinMs","MaxMs","Http401","Http403","Http429","Http5xx","Timeouts","Resets","SseIncomplete","EmptyContent","InvalidJson","ClientCpuAvg","ClientCpuPeak","ClientMemoryMinMB","JMeterExitCode","EmergencyStopped"
"G2","非流式门禁","1","3","3","3","3","0","100","0","0.0591","50.768","16403","8990","31618","31618","31618","8601","31618","0","0","0","0","0","0","0","0","0","59.18","78","4286","0","False"
"G3","流式门禁","1","1","1","1","1","0","100","0","0.0593","16.857","16857","16857","16857","16857","16857","16857","16857","0","0","0","0","0","0","0","0","0","57.4","70","4498","0","False"
"T0-S","流式基线","1","3","3","3","3","0","100","0","0.0442","67.939","22176.67","15354","37455","37455","37455","13721","37455","0","0","0","0","0","0","0","0","0","54.38","74","4480","0","False"
