"Stage","Mode","Threads","Loops","Planned","Samples","Success","Failures","SuccessRate","ErrorRate","RPS","DurationSeconds","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MinMs","MaxMs","Http401","Http403","Http429","Http5xx","Timeouts","Resets","SseIncomplete","EmptyContent","InvalidJson","AchievedMaxThreads","ConcurrencyAchievementRate","ClientCpuAvg","ClientCpuPeak","ClientMemoryMinMB","JMeterExitCode","EmergencyStopped"
"G2","非流式门禁","1","3","3","3","3","0","100","0","0.087","34.497","10965.33","10384","13476","13476","13476","9036","13476","0","0","0","0","0","0","0","0","0","1","100","62.43","81","3904","0","False"
"G3","流式门禁","1","1","1","1","1","0","100","0","0.0927","10.784","10784","10784","10784","10784","10784","10784","10784","0","0","0","0","0","0","0","0","0","1","100","58.25","66","4058","0","False"
"T0-S","流式基线","1","3","3","3","3","0","100","0","0.029","103.503","33977.33","17985","75165","75165","75165","8782","75165","0","0","0","0","0","0","0","0","0","1","100","56.26","73","4075","0","False"
"S3","流式","200","13","2600","2600","2549","51","98.0385","1.9615","2.2585","1151.222","50589.04","49103","81315","91551","117192","159","435454","0","0","0","48","0","0","0","3","0","200","100","53.52","98","3616","0","False"
