"Stage","Mode","Threads","Loops","Planned","Samples","Success","Failures","SuccessRate","ErrorRate","RPS","DurationSeconds","AvgMs","P50Ms","P90Ms","P95Ms","P99Ms","MinMs","MaxMs","Http401","Http403","Http429","Http5xx","Timeouts","Resets","SseIncomplete","EmptyContent","InvalidJson","AchievedMaxThreads","ConcurrencyAchievementRate","ClientCpuAvg","ClientCpuPeak","ClientMemoryMinMB","JMeterExitCode","EmergencyStopped"
"G2","非流式门禁","1","3","3","3","3","0","100","0","0.1143","26.25","8251.33","8359","9511","9511","9511","6884","9511","0","0","0","0","0","0","0","0","0","1","100","64.67","85","4701","0","False"
"G3","流式门禁","1","1","1","1","1","0","100","0","0.111","9.009","9009","9009","9009","9009","9009","9009","9009","0","0","0","0","0","0","0","0","0","1","100","67.25","80","4736","0","False"
"T0-S","流式基线","1","3","3","3","3","0","100","0","0.0916","32.754","10354.67","10490","12340","12340","12340","8234","12340","0","0","0","0","0","0","0","0","0","1","100","57.29","76","4755","0","False"
"T3-S","流式恢复","1","10","10","10","10","0","100","0","0.0949","105.421","10364.6","8893","13241","15732","15732","6848","15732","0","0","0","0","0","0","0","0","0","1","100","56.05","87","4557","0","False"
